Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,ALL,0.9365771812080537,0.8943601794488357,0.5494864612511672,0.9149819691836959,8373,567,989,13336,4342435245294,01:12:22
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,CLASSES,1.0,0.2857142857142857,0.0,0.4444444444444445,4,0,10,21,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,PROPERTIES,1.0,0.9245283018867925,0.9245283018867925,0.9607843137254902,49,0,4,88,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,INSTANCES,0.9361989422752335,0.8951048951048951,0.5425685425685426,0.9151908480915192,8320,567,975,13227,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,ALL,0.9329488103821196,0.9055283414975507,0.46530612244897956,0.9190340909090908,1294,93,135,2963,1873270099998,00:31:13
knowledgegraph,starwars-swtor,SEALS Matcher,CLASSES,1.0,0.8,0.0,0.888888888888889,12,0,3,28,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,PROPERTIES,1.0,0.8928571428571429,0.8928571428571429,0.9433962264150945,50,0,6,103,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,INSTANCES,0.929811320754717,0.9072164948453608,0.34408602150537637,0.9183749534103616,1232,93,126,2832,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,ALL,0.8864908073541167,0.6656662665066027,0.23626373626373626,0.7603702434007542,1109,142,557,2661,2105734215815,00:35:05
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,CLASSES,1.0,1.0,0.0,1.0,2,0,0,8,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,PROPERTIES,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,10,0,1,15,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,INSTANCES,0.8853914447134786,0.6636418632788869,0.22594142259414227,0.7586445366528354,1097,142,556,2638,-,-
knowledgegraph,starwars-swg,SEALS Matcher,ALL,0.9015544041450777,0.776092774308653,0.42992874109263657,0.8341323106423777,870,95,251,2469,1476431544330,00:24:36
knowledgegraph,starwars-swg,SEALS Matcher,CLASSES,1.0,0.6,0.0,0.7499999999999999,3,0,2,10,-,-
knowledgegraph,starwars-swg,SEALS Matcher,PROPERTIES,1.0,1.0,1.0,1.0,20,0,0,42,-,-
knowledgegraph,starwars-swg,SEALS Matcher,INSTANCES,0.8991507430997877,0.7728102189781022,0.40350877192982454,0.8312070657507361,847,95,249,2417,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,ALL,0.9624711316397229,0.9370432827431141,0.6518987341772152,0.9495870122472231,1667,65,112,3399,1613475094409,00:26:53
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,CLASSES,1.0,0.5384615384615384,0.0,0.7000000000000001,7,0,6,24,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,PROPERTIES,0.9743589743589743,0.926829268292683,0.926829268292683,0.9500000000000001,38,1,3,70,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,INSTANCES,0.9620403321470937,0.9402898550724638,0.6245353159851301,0.9510407505130459,1622,64,103,3305,-,-
